full_name,country,api-football_name,worldfootballR_name
Monaco,FRA,Monaco,Monaco
Montpellier,FRA,Montpellier,Montpellier
Monza,ITA,Monza,Monza
Nantes,FRA,Nantes,Nantes
Napoli,ITA,Napoli,Napoli
Newcastle United,ENG,Newcastle,Newcastle Utd
Nice,FRA,Nice,Nice
Nîmes,FRA,,
Norwich City,ENG,,
Nottingham Forest,ENG,Nottingham Forest,Nott'ham Forest
Osasuna,ESP,Osasuna,Osasuna
Paris Saint-Germain,FRA,Paris Saint Germain,Paris S-G
Parma,ITA,Parma,Parma
Rayo Vallecano,ESP,Rayo Vallecano,Rayo Vallecano
RB Leipzig,GER,RB Leipzig,RB Leipzig
Real Betis,ESP,Real Betis,Betis
Real Madrid,ESP,Real Madrid,Real Madrid
Real Sociedad,ESP,Real Sociedad,Real Sociedad
Reims,FRA,Reims,Reims
Rennes,FRA,Rennes,Rennes
Roma,ITA,AS Roma,Roma
Saint-Étienne,FRA,Saint Etienne,Saint-Étienne
Salernitana,ITA,Salernitana,
Sampdoria,ITA,Sampdoria,
Sassuolo,ITA,Sassuolo,
SC Freiburg,GER,SC Freiburg,Freiburg
Schalke 04,GER,FC Schalke 04,
Sevilla,ESP,Sevilla,Sevilla
Sheffield United,ENG,Sheffield Utd,
Southampton,ENG,Southampton,Southampton
Spezia,ITA,Spezia,
Strasbourg,FRA,Strasbourg,Strasbourg
Torino,ITA,Torino,Torino
Tottenham Hotspur,ENG,Tottenham,Tottenham
Toulouse,FRA,Toulouse,Toulouse
Troyes,FRA,,
TSG Hoffenheim,GER,1899 Hoffenheim,Hoffenheim
Udinese,ITA,Udinese,Udinese
Union Berlin,GER,Union Berlin,Union Berlin
Valencia,ESP,Valencia,Valencia
Valladolid,ESP,Valladolid,Valladolid
Venezia,ITA,Venezia,Venezia
VfB Stuttgart,GER,VfB Stuttgart,Stuttgart
VfL Bochum,GER,VfL BOCHUM,Bochum
VfL Wolfsburg,GER,VfL Wolfsburg,Wolfsburg
Villarreal,ESP,Villarreal,Villarreal
Watford,ENG,,
Werder Bremen,GER,Werder Bremen,Werder Bremen
West Bromwich Albion,ENG,,
West Ham United,ENG,West Ham,West Ham
Wolverhampton Wanderers,ENG,Wolves,Wolves
