full_name,country,api-football_name,worldfootballR_name
Chelsea,ENG,Chelsea,Chelsea
Crystal Palace,ENG,Crystal Palace,Crystal Palace
Everton,ENG,Everton,Everton
Fulham,ENG,Fulham,Fulham
Ipswich,ENG,Ipswich,Ipswich Town
Leeds,ENG,Leeds,
Leicester,ENG,Leicester,Leicester City
Liverpool,ENG,Liverpool,Liverpool
Luton,ENG,Luton,
Manchester City,ENG,Manchester City,Manchester City
Manchester United,ENG,Manchester United,Manchester Utd
Newcastle,ENG,Newcastle,Newcastle Utd
Nottingham Forest,ENG,Nottingham Forest,Nott'ham Forest
Sheffield Utd,ENG,Sheffield Utd,
Southampton,ENG,Southampton,Southampton
Tottenham,ENG,Tottenham,Tottenham
West Ham,ENG,West Ham,West Ham
Wolves,ENG,Wolves,Wolves
AC Milan,ITA,AC Milan,Milan
AS Roma,ITA,AS Roma,Roma
Atalanta,ITA,Atalanta,Atalanta
Bologna,ITA,Bologna,Bologna
Cagliari,ITA,Cagliari,Cagliari
Como,ITA,Como,Como
Cremonese,ITA,Cremonese,
Empoli,ITA,Empoli,Empoli
Fiorentina,ITA,Fiorentina,Fiorentina
Frosinone,ITA,Frosinone,
Genoa,ITA,Genoa,Genoa
Inter,ITA,Inter,Inter
Juventus,ITA,Juventus,Juventus
Lazio,ITA,Lazio,Lazio
Lecce,ITA,Lecce,Lecce
Monza,ITA,Monza,Monza
Napoli,ITA,Napoli,Napoli
Parma,ITA,Parma,Parma
Salernitana,ITA,Salernitana,
Sampdoria,ITA,Sampdoria,
Sassuolo,ITA,Sassuolo,
Spezia,ITA,Spezia,
Torino,ITA,Torino,Torino
Udinese,ITA,Udinese,Udinese
Venezia,ITA,Venezia,Venezia
Verona,ITA,Verona,Hellas Verona
Elversberg,GER,Elversberg,
